county,state,population_2019,Elec2020
Texas,Oklahoma,22081,Trump
Tillman,Oklahoma,7711,Trump
Tulsa,Oklahoma,651552,Trump
Wagoner,Oklahoma,81289,Trump
Washington,Oklahoma,51527,Trump
Washita,Oklahoma,11678,Trump
Woods,Oklahoma,9041,Trump
Woodward,Oklahoma,21221,Trump
Baker,Oregon,16018,Trump
Benton,Oregon,93053,Biden
Clackamas,Oregon,418187,Biden
Clatsop,Oregon,37244,Biden
Columbia,Oregon,52354,Trump
Coos,Oregon,64487,Trump
Crook,Oregon,20815,Trump
Curry,Oregon,22339,Trump
Deschutes,Oregon,197692,Biden
Douglas,Oregon,110980,Trump
Gilliam,Oregon,1947,Trump
Grant,Oregon,7283,Trump
Harney,Oregon,7146,Trump
Hood River,Oregon,22675,Biden
Jackson,Oregon,220944,Trump
Jefferson,Oregon,21145,Trump
Josephine,Oregon,87487,Trump
Klamath,Oregon,68238,Trump
Lake,Oregon,7820,Trump
Lane,Oregon,382067,Biden
Lincoln,Oregon,49962,Biden
Linn,Oregon,129749,Trump
Malheur,Oregon,30479,Trump
Marion,Oregon,347818,Biden
Morrow,Oregon,11336,Trump
Multnomah,Oregon,812855,Biden
Polk,Oregon,86085,Trump
Sherman,Oregon,1731,Trump
Tillamook,Oregon,25317,Trump
Umatilla,Oregon,77950,Trump
Union,Oregon,25652,Trump
Wallowa,Oregon,6814,Trump
Wasco,Oregon,25477,Trump
Washington,Oregon,601592,Biden
Wheeler,Oregon,1381,Trump
Yamhill,Oregon,107100,Trump
Adams,Pennsylvania,103009,Trump
Allegheny,Pennsylvania,1216045,Biden
Armstrong,Pennsylvania,64735,Trump
Beaver,Pennsylvania,163929,Trump
Bedford,Pennsylvania,47888,Trump
Berks,Pennsylvania,421164,Trump
Blair,Pennsylvania,121829,Trump
Bradford,Pennsylvania,60323,Trump
Bucks,Pennsylvania,628270,Biden
Butler,Pennsylvania,187853,Trump
Cambria,Pennsylvania,130192,Trump
Cameron,Pennsylvania,4886,Trump
Carbon,Pennsylvania,64182,Trump
Centre,Pennsylvania,162385,Biden
Chester,Pennsylvania,524989,Biden
Clarion,Pennsylvania,38438,Trump
Clearfield,Pennsylvania,79255,Trump
Clinton,Pennsylvania,38632,Trump
Columbia,Pennsylvania,64964,Trump
Crawford,Pennsylvania,84629,Trump
Cumberland,Pennsylvania,253370,Trump
Dauphin,Pennsylvania,278299,Biden
Delaware,Pennsylvania,566747,Biden
Elk,Pennsylvania,31479,Trump
Erie,Pennsylvania,269728,Biden
Fayette,Pennsylvania,129274,Trump
Forest,Pennsylvania,7631,Trump
Franklin,Pennsylvania,155027,Trump
Fulton,Pennsylvania,14670,Trump
Greene,Pennsylvania,36233,Trump
Huntingdon,Pennsylvania,45144,Trump
Indiana,Pennsylvania,84073,Trump
Jefferson,Pennsylvania,43425,Trump
Juniata,Pennsylvania,24768,Trump
Lackawanna,Pennsylvania,209674,Biden
Lancaster,Pennsylvania,545724,Trump
Lawrence,Pennsylvania,85512,Trump
Lebanon,Pennsylvania,141793,Trump
Lehigh,Pennsylvania,369318,Biden
Luzerne,Pennsylvania,317417,Trump
Lycoming,Pennsylvania,113299,Trump
McKean,Pennsylvania,40625,Trump
Mercer,Pennsylvania,109424,Trump
Mifflin,Pennsylvania,46138,Trump
Monroe,Pennsylvania,170271,Biden
Montgomery,Pennsylvania,830915,Biden
Montour,Pennsylvania,18541,Trump
Northampton,Pennsylvania,305285,Biden
Northumberland,Pennsylvania,90843,Trump
Perry,Pennsylvania,46272,Trump
Philadelphia[w],Pennsylvania,1584064,Biden
Pike,Pennsylvania,55809,Trump
Potter,Pennsylvania,17497,Trump
Schuylkill,Pennsylvania,141359,Trump
Snyder,Pennsylvania,40372,Trump
Somerset,Pennsylvania,73447,Trump
Sullivan,Pennsylvania,6351,Trump
Susquehanna,Pennsylvania,40328,Trump
Tioga,Pennsylvania,40591,Trump
Union,Pennsylvania,44923,Trump
Venango,Pennsylvania,50668,Trump
Warren,Pennsylvania,39191,Trump
Washington,Pennsylvania,206865,Trump
Wayne,Pennsylvania,51361,Trump
Westmoreland,Pennsylvania,348899,Trump
Wyoming,Pennsylvania,28003,Trump
York,Pennsylvania,449058,Trump
Adjuntas Municipality,Puerto Rico,19483,
Aguada Municipality,Puerto Rico,41959,
Aguadilla Municipality,Puerto Rico,54582,
Aguas Buenas Municipality,Puerto Rico,28659,
Aibonito Municipality,Puerto Rico,25900,
Añasco Municipality,Puerto Rico,29261,
Arecibo Municipality,Puerto Rico,96440,
Arroyo Municipality,Puerto Rico,19575,
Barceloneta Municipality,Puerto Rico,24816,
Barranquitas Municipality,Puerto Rico,30318,
Bayamón Municipality,Puerto Rico,208116,
Cabo Rojo Municipality,Puerto Rico,50917,
Caguas Municipality,Puerto Rico,142893,
Camuy Municipality,Puerto Rico,35159,
Canóvanas Municipality,Puerto Rico,47648,
Carolina Municipality,Puerto Rico,176762,
Cataño Municipality,Puerto Rico,28140,
Cayey Municipality,Puerto Rico,48119,
Ceiba Municipality,Puerto Rico,13631,
Ciales Municipality,Puerto Rico,18782,
Cidra Municipality,Puerto Rico,43480,
Coamo Municipality,Puerto Rico,40512,
Comerío Municipality,Puerto Rico,20778,
Corozal Municipality,Puerto Rico,37142,
Culebra Municipality,Puerto Rico,1818,
Dorado Municipality,Puerto Rico,38165,
Fajardo Municipality,Puerto Rico,36993,
Florida Municipality,Puerto Rico,12680,
Guánica Municipality,Puerto Rico,19427,
Guayama Municipality,Puerto Rico,45362,
Guayanilla Municipality,Puerto Rico,21581,
Guaynabo Municipality,Puerto Rico,97924,
Gurabo Municipality,Puerto Rico,45369,
Hatillo Municipality,Puerto Rico,41953,
Hormigueros Municipality,Puerto Rico,17250,
Humacao Municipality,Puerto Rico,58466,
Isabela Municipality,Puerto Rico,45631,
Jayuya Municipality,Puerto Rico,16642,
Juana Díaz Municipality,Puerto Rico,79897,
Juncos Municipality,Puerto Rico,40290,
Lajas Municipality,Puerto Rico,25753,
Lares Municipality,Puerto Rico,30753,
Las Marías Municipality,Puerto Rico,9881,
Las Piedras Municipality,Puerto Rico,38675,
Loíza Municipality,Puerto Rico,30060,
Luquillo Municipality,Puerto Rico,20068,
Manatí Municipality,Puerto Rico,44113,
Maricao Municipality,Puerto Rico,6276,
Maunabo Municipality,Puerto Rico,12225,
Mayagüez Municipality,Puerto Rico,89080,
Moca Municipality,Puerto Rico,40109,
Morovis Municipality,Puerto Rico,32610,
Naguabo Municipality,Puerto Rico,26720,
Naranjito Municipality,Puerto Rico,30402,
Orocovis Municipality,Puerto Rico,23423,
Patillas Municipality,Puerto Rico,19277,
Peñuelas Municipality,Puerto Rico,24282,
Ponce Municipality,Puerto Rico,166327,
Quebradillas Municipality,Puerto Rico,25919,
Rincón Municipality,Puerto Rico,15200,
Río Grande Municipality,Puerto Rico,54304,
Sabana Grande Municipality,Puerto Rico,25265,
Salinas Municipality,Puerto Rico,31078,
San Germán Municipality,Puerto Rico,35527,
San Juan Municipality,Puerto Rico,395326,
San Lorenzo Municipality,Puerto Rico,41058,
San Sebastián Municipality,Puerto Rico,42430,
Santa Isabel Municipality,Puerto Rico,23274,
Toa Alta Municipality,Puerto Rico,74066,
Toa Baja Municipality,Puerto Rico,89609,
Trujillo Alto Municipality,Puerto Rico,74842,
Utuado Municipality,Puerto Rico,33149,
Vega Alta Municipality,Puerto Rico,39951,
Vega Baja Municipality,Puerto Rico,59662,
Vieques Municipality,Puerto Rico,9301,
Villalba Municipality,Puerto Rico,26073,
Yabucoa Municipality,Puerto Rico,37941,
Yauco Municipality,Puerto Rico,42043,
Bristol,Rhode Island,48479,Biden
Kent,Rhode Island,164292,Biden
Newport,Rhode Island,82082,Biden
Providence,Rhode Island,638931,Biden
Washington,Rhode Island,125577,Biden
Abbeville,South Carolina,25007,Trump
Aiken,South Carolina,170872,Trump
Allendale,South Carolina,9839,Biden
Anderson,South Carolina,202558,Trump
Bamberg,South Carolina,15430,Biden
Barnwell,South Carolina,22119,Trump
Beaufort,South Carolina,192122,Trump
Berkeley,South Carolina,227907,Trump
Calhoun,South Carolina,15055,Trump
Charleston,South Carolina,411406,Biden
Cherokee,South Carolina,57300,Trump
Chester,South Carolina,32578,Trump
Chesterfield,South Carolina,45650,Trump
Clarendon,South Carolina,34355,Trump
Colleton,South Carolina,37677,Trump
Darlington,South Carolina,66618,Trump
Dillon,South Carolina,31229,Trump
Dorchester,South Carolina,162809,Trump
Edgefield,South Carolina,26436,Trump
Fairfield,South Carolina,23109,Biden
Florence,South Carolina,138293,Trump
Georgetown,South Carolina,62680,Trump
Greenville,South Carolina,523542,Trump
Greenwood,South Carolina,70811,Trump
Hampton,South Carolina,20408,Biden
Horry,South Carolina,354081,Trump
Jasper,South Carolina,26629,Biden
Kershaw,South Carolina,66551,Trump
Lancaster,South Carolina,98012,Trump
Laurens,South Carolina,67493,Trump
Lee,South Carolina,18347,Biden
Lexington,South Carolina,298750,Trump
McCormick,South Carolina,9947,Trump
Marion,South Carolina,32072,Biden
Marlboro,South Carolina,28003,Biden
Newberry,South Carolina,38440,Trump
Oconee,South Carolina,79546,Trump
Orangeburg,South Carolina,86175,Biden
Pickens,South Carolina,126884,Trump
Richland,South Carolina,415759,Biden
Saluda,South Carolina,20091,Trump
Spartanburg,South Carolina,319785,Trump
Sumter,South Carolina,106721,Biden
Union,South Carolina,28030,Trump
Williamsburg,South Carolina,33067,Biden
York,South Carolina,280979,Trump
Aurora,South Dakota,2720,Trump
Beadle,South Dakota,18080,Trump
Bennett,South Dakota,3452,Trump
Bon Homme,South Dakota,7046,Trump
Brookings,South Dakota,32968,Trump
Brown,South Dakota,38839,Trump
Brule,South Dakota,5366,Trump
Buffalo,South Dakota,2024,Biden
Butte,South Dakota,10330,Trump
Campbell,South Dakota,1334,Trump
Charles Mix,South Dakota,9241,Trump
Clark,South Dakota,3610,Trump
Clay,South Dakota,13935,Biden
Codington,South Dakota,27853,Trump
Corson,South Dakota,4215,Trump
Custer,South Dakota,8468,Trump
Davison,South Dakota,19823,Trump
Day,South Dakota,5596,Trump
Deuel,South Dakota,4320,Trump
Dewey,South Dakota,5586,Biden
Douglas,South Dakota,3023,Trump
Edmunds,South Dakota,4041,Trump
Fall River,South Dakota,6839,Trump
Faulk,South Dakota,2386,Trump
Grant,South Dakota,7281,Trump
Gregory,South Dakota,4242,Trump
Haakon,South Dakota,1894,Trump
Hamlin,South Dakota,5961,Trump
Hand,South Dakota,3391,Trump
Hanson,South Dakota,3405,Trump
Harding,South Dakota,1262,Trump
Hughes,South Dakota,17508,Trump
Hutchinson,South Dakota,7145,Trump
Hyde,South Dakota,1391,Trump
Jackson,South Dakota,3216,Trump
Jerauld,South Dakota,2066,Trump
Jones,South Dakota,1001,Trump
Kingsbury,South Dakota,5065,Trump
Lake,South Dakota,12055,Trump
Lawrence,South Dakota,24910,Trump
Lincoln,South Dakota,61128,Trump
Lyman,South Dakota,3892,Trump
McCook,South Dakota,5654,Trump
McPherson,South Dakota,2457,Trump
Marshall,South Dakota,4763,Trump
Meade,South Dakota,27202,Trump
Mellette,South Dakota,2081,Trump
Miner,South Dakota,2333,Trump
Minnehaha,South Dakota,193134,Trump
Moody,South Dakota,6404,Trump
Oglala Lakota,South Dakota,14118,Biden
Pennington,South Dakota,113775,Trump
Perkins,South Dakota,3037,Trump
Potter,South Dakota,2394,Trump
Roberts,South Dakota,10251,Trump
Sanborn,South Dakota,2324,Trump
Spink,South Dakota,6610,Trump
Stanley,South Dakota,2981,Trump
Sully,South Dakota,1437,Trump
Todd,South Dakota,9982,Biden
Tripp,South Dakota,5498,Trump
Turner,South Dakota,8361,Trump
Union,South Dakota,14829,Trump
Walworth,South Dakota,5524,Trump
Yankton,South Dakota,22696,Trump
Ziebach,South Dakota,2834,Biden
Anderson,Tennessee,76978,Trump
Bedford,Tennessee,49713,Trump
Benton,Tennessee,16290,Trump
Bledsoe,Tennessee,12841,Trump
Blount,Tennessee,133088,Trump
Bradley,Tennessee,108110,Trump
Campbell,Tennessee,39842,Trump
Cannon,Tennessee,13775,Trump
Carroll,Tennessee,28513,Trump
Carter,Tennessee,56391,Trump
Cheatham,Tennessee,40667,Trump
Chester,Tennessee,17321,Trump
Claiborne,Tennessee,31560,Trump
Clay,Tennessee,7774,Trump
Cocke,Tennessee,35479,Trump
Coffee,Tennessee,56520,Trump
Crockett,Tennessee,14591,Trump
Cumberland,Tennessee,60520,Trump
Davidson,Tennessee,694144,Biden
Decatur,Tennessee,11661,Trump
DeKalb,Tennessee,19164,Trump
Dickson,Tennessee,53948,Trump
Dyer,Tennessee,37159,Trump
Fayette,Tennessee,41133,Trump
Fentress,Tennessee,17909,Trump
Franklin,Tennessee,42208,Trump
Gibson,Tennessee,49133,Trump
Giles,Tennessee,28746,Trump
Grainger,Tennessee,22702,Trump
Greene,Tennessee,69069,Trump
Grundy,Tennessee,13498,Trump
Hamblen,Tennessee,64934,Trump
Hamilton,Tennessee,367804,Trump
Hancock,Tennessee,6679,Trump
Hardeman,Tennessee,26306,Trump
Hardin,Tennessee,26034,Trump
Hawkins,Tennessee,56786,Trump
Haywood,Tennessee,18224,Biden
Henderson,Tennessee,28048,Trump
Henry,Tennessee,32210,Trump
Hickman,Tennessee,24267,Trump
Houston,Tennessee,8292,Trump
Humphreys,Tennessee,18243,Trump
Jackson,Tennessee,11517,Trump
Jefferson,Tennessee,54495,Trump
Johnson,Tennessee,17977,Trump
Knox,Tennessee,470313,Trump
Lake,Tennessee,7731,Trump
Lauderdale,Tennessee,27795,Trump
Lawrence,Tennessee,44142,Trump
Lewis,Tennessee,11961,Trump
Lincoln,Tennessee,33633,Trump
Loudon,Tennessee,54068,Trump
McMinn,Tennessee,53794,Trump
McNairy,Tennessee,26140,Trump
Macon,Tennessee,22701,Trump
Madison,Tennessee,97984,Trump
Marion,Tennessee,28374,Trump
Marshall,Tennessee,31130,Trump
Maury,Tennessee,96387,Trump
Meigs,Tennessee,11649,Trump
Monroe,Tennessee,46545,Trump
Montgomery,Tennessee,208993,Trump
Moore,Tennessee,6301,Trump
Morgan,Tennessee,21915,Trump
Obion,Tennessee,31131,Trump
Overton,Tennessee,22075,Trump
Perry,Tennessee,7869,Trump
Pickett,Tennessee,5090,Trump
Polk,Tennessee,16690,Trump
Putnam,Tennessee,80245,Trump
Rhea,Tennessee,32513,Trump
Roane,Tennessee,53382,Trump
Robertson,Tennessee,71813,Trump
Rutherford,Tennessee,332285,Trump
Scott,Tennessee,22015,Trump
Sequatchie,Tennessee,14681,Trump
Sevier,Tennessee,98250,Trump
Shelby,Tennessee,937166,Biden
Smith,Tennessee,19074,Trump
Stewart,Tennessee,13362,Trump
Sullivan,Tennessee,158348,Trump
Sumner,Tennessee,191283,Trump
Tipton,Tennessee,61599,Trump
Trousdale,Tennessee,7828,Trump
Unicoi,Tennessee,18082,Trump
Union,Tennessee,19102,Trump
Van Buren,Tennessee,5583,Trump
Warren,Tennessee,41277,Trump
Washington,Tennessee,129375,Trump
Wayne,Tennessee,16939,Trump
Weakley,Tennessee,34450,Trump
White,Tennessee,26244,Trump
Williamson,Tennessee,238412,Trump
Wilson,Tennessee,144657,Trump
Anderson,Texas,57735,Trump
Andrews,Texas,16799,Trump
Angelina,Texas,86715,Trump
Aransas,Texas,24356,Trump
Archer,Texas,8681,Trump
Armstrong,Texas,1949,Trump
Atascosa,Texas,51153,Trump
Austin,Texas,28847,Trump
Bailey,Texas,7114,Trump
Bandera,Texas,20601,Trump
Bastrop,Texas,88723,Trump
Baylor,Texas,3614,Trump
Bee,Texas,32799,Trump
Bell,Texas,362924,Trump
Bexar,Texas,2003554,Biden
Blanco,Texas,10723,Trump
Borden,Texas,637,Trump
Bosque,Texas,17855,Trump
Bowie,Texas,93245,Trump
Brazoria,Texas,374264,Trump
Brazos,Texas,229211,Trump
Brewster,Texas,9286,Trump
Briscoe,Texas,1537,Trump
Brooks,Texas,7237,Biden
Brown,Texas,37864,Trump
Burleson,Texas,17169,Trump
Burnet,Texas,48155,Trump
Caldwell,Texas,43664,Trump
Calhoun,Texas,21806,Trump
Callahan,Texas,13525,Trump
Cameron,Texas,423163,Biden
Camp,Texas,12413,Trump
Carson,Texas,6010,Trump
Cass,Texas,30331,Trump
Castro,Texas,8030,Trump
Chambers,Texas,36812,Trump
Cherokee,Texas,52646,Trump
Childress,Texas,7095,Trump
Clay,Texas,10473,Trump
Cochran,Texas,3016,Trump
Coke,Texas,3210,Trump
Coleman,Texas,8543,Trump
Collin,Texas,1034730,Trump
Collingsworth,Texas,3099,Trump
Colorado,Texas,20752,Trump
Comal,Texas,156209,Trump
Comanche,Texas,13623,Trump
Concho,Texas,4043,Trump
Cooke,Texas,41257,Trump
Coryell,Texas,75951,Trump
Cottle,Texas,1452,Trump
Crane,Texas,4773,Trump
Crockett,Texas,3807,Trump
Crosby,Texas,5991,Trump
Culberson,Texas,2277,Biden
Dallam,Texas,7057,Trump
Dallas,Texas,2635516,Biden
Dawson,Texas,13810,Trump
Deaf Smith,Texas,19177,Trump
Delta,Texas,5238,Trump
Denton,Texas,887207,Trump
DeWitt,Texas,20503,Trump
Dickens,Texas,2291,Trump
Dimmit,Texas,10897,Biden
Donley,Texas,3522,Trump
Duval,Texas,11640,Biden
Eastland,Texas,18245,Trump
Ector,Texas,166223,Trump
Edwards,Texas,1884,Trump
Ellis,Texas,184826,Trump
El Paso,Texas,839238,Biden
Erath,Texas,42698,Trump
Falls,Texas,17493,Trump
Fannin,Texas,33659,Trump
Fayette,Texas,24821,Trump
Fisher,Texas,3856,Trump
Floyd,Texas,6230,Trump
Foard,Texas,1277,Trump
Fort Bend,Texas,811688,Biden
Franklin,Texas,10660,Trump
Freestone,Texas,19646,Trump
Frio,Texas,18065,Trump
Gaines,Texas,18921,Trump
Galveston,Texas,342139,Trump
Garza,Texas,6317,Trump
Gillespie,Texas,25357,Trump
Glasscock,Texas,1251,Trump
Goliad,Texas,7465,Trump
Gonzales,Texas,20312,Trump
Gray,Texas,23043,Trump
Grayson,Texas,136212,Trump
Gregg,Texas,123945,Trump
Grimes,Texas,26859,Trump
Guadalupe,Texas,166847,Trump
Hale,Texas,35764,Trump
Hall,Texas,3239,Trump
Hamilton,Texas,8310,Trump
Hansford,Texas,5555,Trump
Hardeman,Texas,4016,Trump
Hardin,Texas,57602,Trump
Harris,Texas,4713325,Biden
Harrison,Texas,66553,Trump
Hartley,Texas,6100,Trump
Haskell,Texas,5875,Trump
Hays,Texas,230191,Biden
Hemphill,Texas,4158,Trump
Henderson,Texas,82737,Trump
Hidalgo,Texas,868707,Biden
Hill,Texas,34823,Trump
Hockley,Texas,23530,Trump
Hood,Texas,61643,Trump
Hopkins,Texas,35565,Trump
Houston,Texas,22911,Trump
Howard,Texas,36147,Trump
Hudspeth,Texas,3318,Trump
Hunt,Texas,98594,Trump
Hutchinson,Texas,21819,Trump
Irion,Texas,1612,Trump
Jack,Texas,8957,Trump
Jackson,Texas,14591,Trump
Jasper,Texas,35649,Trump
Jeff Davis,Texas,2253,Trump
Jefferson,Texas,251565,Trump
Jim Hogg,Texas,5245,Biden
Jim Wells,Texas,40482,Trump
Johnson,Texas,175817,Trump
Jones,Texas,19859,Trump
Karnes,Texas,15081,Trump
Kaufman,Texas,136154,Trump
Kendall,Texas,47431,Trump
Kenedy,Texas,412,Trump
Kent,Texas,807,Trump
Kerr,Texas,52600,Trump
Kimble,Texas,4481,Trump
King,Texas,285,Trump
Kinney,Texas,3586,Trump
Kleberg,Texas,32101,Trump
Knox,Texas,3767,Trump
Lamar,Texas,49859,Trump
Lamb,Texas,13775,Trump
Lampasas,Texas,20222,Trump
La Salle,Texas,7369,Trump
Lavaca,Texas,19581,Trump
Lee,Texas,16628,Trump
Leon,Texas,16742,Trump
Liberty,Texas,88219,Trump
Limestone,Texas,23326,Trump
Lipscomb,Texas,3485,Trump
Live Oak,Texas,11867,Trump
Llano,Texas,19444,Trump
Loving,Texas,169,Trump
Lubbock,Texas,310569,Trump
Lynn,Texas,5723,Trump
McCulloch,Texas,8330,Trump
McLennan,Texas,256623,Trump
McMullen,Texas,764,Trump
Madison,Texas,13781,Trump
Marion,Texas,10235,Trump
Martin,Texas,5312,Trump
Mason,Texas,4128,Trump
Matagorda,Texas,36592,Trump
Maverick,Texas,58722,Biden
Medina,Texas,51584,Trump
Menard,Texas,2148,Trump
Midland,Texas,176832,Trump
Milam,Texas,24167,Trump
Mills,Texas,4907,Trump
Mitchell,Texas,9402,Trump
Montague,Texas,19503,Trump
Montgomery,Texas,607391,Trump
Moore,Texas,22141,Trump
Morris,Texas,12834,Trump
Motley,Texas,1196,Trump
Nacogdoches,Texas,65204,Trump
Navarro,Texas,50113,Trump
Newton,Texas,14140,Trump
Nolan,Texas,15037,Trump
Nueces,Texas,362294,Trump
Ochiltree,Texas,10806,Trump
Oldham,Texas,2102,Trump
Orange,Texas,83396,Trump
Palo Pinto,Texas,27889,Trump
Panola,Texas,23870,Trump
Parker,Texas,142878,Trump
Parmer,Texas,9965,Trump
Pecos,Texas,15697,Trump
Polk,Texas,51353,Trump
Potter,Texas,117415,Trump
Presidio,Texas,7201,Biden
Rains,Texas,11065,Trump
Randall,Texas,137713,Trump
Reagan,Texas,3601,Trump
Real,Texas,3350,Trump
Red River,Texas,12470,Trump
Reeves,Texas,13965,Trump
Refugio,Texas,7305,Trump
Roberts,Texas,831,Trump
Robertson,Texas,16486,Trump
Rockwall,Texas,104915,Trump
Runnels,Texas,10309,Trump
Rusk,Texas,54406,Trump
Sabine,Texas,10361,Trump
San Augustine,Texas,8769,Trump
San Jacinto,Texas,26856,Trump
San Patricio,Texas,66730,Trump
San Saba,Texas,6012,Trump
Schleicher,Texas,3206,Trump
Scurry,Texas,17302,Trump
Shackelford,Texas,3375,Trump
Shelby,Texas,25792,Trump
Sherman,Texas,3093,Trump
Smith,Texas,232751,Trump
Somervell,Texas,8658,Trump
Starr,Texas,64633,Biden
Stephens,Texas,9247,Trump
Sterling,Texas,1219,Trump
Stonewall,Texas,1432,Trump
Sutton,Texas,4006,Trump
Swisher,Texas,7763,Trump
Tarrant,Texas,2102515,Biden
Taylor,Texas,138034,Trump
Terrell,Texas,903,Trump
Terry,Texas,12743,Trump
Throckmorton,Texas,1600,Trump
Titus,Texas,32581,Trump
Tom Green,Texas,119200,Trump
Travis,Texas,1273954,Biden
Trinity,Texas,14393,Trump
Tyler,Texas,21464,Trump
Upshur,Texas,41753,Trump
Upton,Texas,3372,Trump
Uvalde,Texas,26926,Trump
Val Verde,Texas,49025,Trump
Van Zandt,Texas,56590,Trump
Victoria,Texas,92084,Trump
Walker,Texas,72971,Trump
Waller,Texas,55246,Trump
Ward,Texas,11244,Trump
Washington,Texas,34147,Trump
Webb,Texas,276652,Biden
Wharton,Texas,41556,Trump
Wheeler,Texas,5751,Trump
Wichita,Texas,132230,Trump
Wilbarger,Texas,13131,Trump
Willacy,Texas,21921,Biden
Williamson,Texas,590551,Biden
Wilson,Texas,51070,Trump
Winkler,Texas,7606,Trump
Wise,Texas,69984,Trump
Wood,Texas,45539,Trump
Yoakum,Texas,8184,Trump
Young,Texas,18341,Trump
Zapata,Texas,14390,Trump
Zavala,Texas,12156,Biden
Bajo Nuevo Bank[x][y],  U.S. Minor Outlying Islands,0,
Baker Island[8][x],  U.S. Minor Outlying Islands,0,
Howland Island[x],  U.S. Minor Outlying Islands,0,
Jarvis Island[x],  U.S. Minor Outlying Islands,0,
Johnston Atoll[x],  U.S. Minor Outlying Islands,0,
Kingman Reef[x],  U.S. Minor Outlying Islands,0,
Midway Islands[x],  U.S. Minor Outlying Islands,40,
Navassa Island[x],  U.S. Minor Outlying Islands,0,
Palmyra Atoll[x],  U.S. Minor Outlying Islands,20,
Serranilla Bank[x][y],  U.S. Minor Outlying Islands,0,
Wake Island[x],  U.S. Minor Outlying Islands,100,
Beaver,Utah,6459,Trump
Box Elder,Utah,56046,Trump
Cache,Utah,128289,Trump
Carbon,Utah,20988,Trump
Daggett,Utah,1127,Trump
Davis,Utah,355481,Trump
Duchesne,Utah,20308,Trump
Emery,Utah,10749,Trump
Garfield,Utah,5083,Trump
Grand,Utah,9360,Biden
Iron,Utah,54839,Trump
Juab,Utah,10348,Trump
Kane,Utah,7260,Trump
Millard,Utah,12662,Trump
Morgan,Utah,10173,Trump
Piute,Utah,1510,Trump
Rich,Utah,2288,Trump
Salt Lake,Utah,1160437,Biden
San Juan,Utah,14973,Trump
Sanpete,Utah,28237,Trump
Sevier,Utah,20852,Trump
Summit,Utah,42145,Biden
Tooele,Utah,72259,Trump
Uintah,Utah,35555,Trump
Utah,Utah,636235,Trump
Wasatch,Utah,26437,Trump
Washington,Utah,177556,Trump
Wayne,Utah,2747,Trump
Weber,Utah,260213,Trump
Addison,Vermont,36791,Biden
Bennington,Vermont,36659,Biden
Caledonia,Vermont,31157,Biden
Chittenden,Vermont,163774,Biden
Essex,Vermont,6211,Trump
Franklin,Vermont,49402,Biden
Grand Isle,Vermont,6987,Biden
Lamoille,Vermont,25067,Biden
Orange,Vermont,28915,Biden
Orleans,Vermont,27169,Biden
Rutland,Vermont,58191,Biden
Washington,Vermont,58409,Biden
Windham,Vermont,42222,Biden
Windsor,Vermont,55062,Biden
Saint Croix Island[9],  Virgin Islands (U.S.),50601,
Saint John Island,  Virgin Islands (U.S.),4170,
Saint Thomas Island,  Virgin Islands (U.S.),51634,
Accomack,Virginia,33148,Trump
Albemarle,Virginia,109330,Biden
Alleghany,Virginia,16161,Trump
Amelia,Virginia,12745,Trump
Amherst,Virginia,32178,Trump
Appomattox,Virginia,15255,Trump
Arlington,Virginia,236842,Biden
Augusta,Virginia,75558,Trump
Bath,Virginia,4616,Trump
Bedford[z],Virginia,78997,Trump
Bland,Virginia,6735,Trump
Botetourt,Virginia,33002,Trump
Brunswick,Virginia,16973,Biden
Buchanan,Virginia,23597,Trump
Buckingham,Virginia,17136,Trump
Campbell,Virginia,54885,Trump
Caroline,Virginia,29298,Trump
Carroll,Virginia,29883,Trump
Charles City,Virginia,7130,Biden
Charlotte,Virginia,12305,Trump
Chesterfield,Virginia,352802,Biden
Clarke,Virginia,14348,Trump
Craig,Virginia,5210,Trump
Culpeper,Virginia,52605,Trump
Cumberland,Virginia,9841,Trump
Dickenson,Virginia,15486,Trump
Dinwiddie,Virginia,27904,Trump
Essex,Virginia,11229,Trump
Fairfax,Virginia,1147532,Biden
Fauquier,Virginia,71222,Trump
Floyd,Virginia,15528,Trump
Fluvanna,Virginia,25977,Trump
Franklin,Virginia,56042,Trump
Frederick,Virginia,89313,Trump
Giles,Virginia,16925,Trump
Gloucester,Virginia,36834,Trump
Goochland,Virginia,21626,Trump
Grayson,Virginia,15161,Trump
Greene,Virginia,18804,Trump
Greensville,Virginia,11886,Biden
Halifax,Virginia,35401,Trump
Hanover,Virginia,107766,Trump
Henrico,Virginia,330818,Biden
Henry,Virginia,50557,Trump
Highland,Virginia,2215,Trump
Isle of Wight,Virginia,35656,Trump
James City,Virginia,76523,Biden
King and Queen,Virginia,7130,Trump
King George,Virginia,24926,Trump
King William,Virginia,16097,Trump
Lancaster,Virginia,11148,Trump
Lee,Virginia,25185,Trump
Loudoun,Virginia,413538,Biden
Louisa,Virginia,33945,Trump
Lunenburg,Virginia,12527,Trump
Madison,Virginia,13200,Trump
Mathews,Virginia,8897,Trump
Mecklenburg,Virginia,31426,Trump
Middlesex,Virginia,10762,Trump
Montgomery,Virginia,98535,Biden
Nelson,Virginia,14789,Trump
New Kent,Virginia,19507,Trump
Northampton,Virginia,12125,Biden
Northumberland,Virginia,12200,Trump
Nottoway,Virginia,15773,Trump
Orange,Virginia,34689,Trump
Page,Virginia,23821,Trump
Patrick,Virginia,18368,Trump
